roi_formatted,subj,phase,trained,correct
FUS,1206163,post,False,0.325
FUS,1206163,post,True,0.1625
FUS,1206163,pre,False,0.3
FUS,1206163,pre,True,0.275
FUS,1207162,post,False,0.2625
FUS,1207162,post,True,0.2625
FUS,1207162,pre,False,0.175
FUS,1207162,pre,True,0.2125
HC,110171,post,False,0.3125
HC,110171,post,True,0.3
HC,110171,pre,False,0.2625
HC,110171,pre,True,0.25
HC,110172,post,False,0.2
HC,110172,post,True,0.2125
HC,110172,pre,False,0.3
HC,110172,pre,True,0.1875
HC,111171,post,False,0.2875
HC,111171,post,True,0.325
HC,111171,pre,False,0.2
HC,111171,pre,True,0.2375
HC,112171,post,False,0.175
HC,112171,post,True,0.275
HC,112171,pre,False,0.25
HC,112171,pre,True,0.175
HC,112172,post,False,0.2125
HC,112172,post,True,0.2875
HC,112172,pre,False,0.1875
HC,112172,pre,True,0.3625
HC,112173,post,False,0.1625
HC,112173,post,True,0.225
HC,112173,pre,False,0.225
HC,112173,pre,True,0.2375
HC,113171,post,False,0.2875
HC,113171,post,True,0.4
HC,113171,pre,False,0.3125
HC,113171,pre,True,0.2375
HC,115174,post,False,0.125
HC,115174,post,True,0.2125
HC,115174,pre,False,0.3375
HC,115174,pre,True,0.25
HC,117171,post,False,0.2875
HC,117171,post,True,0.2125
HC,117171,pre,False,0.2
HC,117171,pre,True,0.2875
HC,118171,post,False,0.2375
HC,118171,post,True,0.2625
HC,118171,pre,False,0.2875
HC,118171,pre,True,0.2625
HC,118172,post,False,0.2375
HC,118172,post,True,0.2375
HC,118172,pre,False,0.2625
HC,118172,pre,True,0.275
HC,119171,post,False,0.325
HC,119171,post,True,0.2
HC,119171,pre,False,0.2625
HC,119171,pre,True,0.2125
HC,119172,post,False,0.2625
HC,119172,post,True,0.2
HC,119172,pre,False,0.2375
HC,119172,pre,True,0.2125
