roi_formatted,subj,phase,trained,correct
PRC,0119174,post,True,0.275
PRC,0119174,pre,False,0.4
PRC,0119174,pre,True,0.1125
PRC,0120171,post,False,0.2125
PRC,0120171,post,True,0.3
PRC,0120171,pre,False,0.2625
PRC,0120171,pre,True,0.2
PRC,0120172,post,False,0.3625
PRC,0120172,post,True,0.25
PRC,0120172,pre,False,0.25
PRC,0120172,pre,True,0.325
PRC,0120173,post,False,0.2
PRC,0120173,post,True,0.225
PRC,0120173,pre,False,0.3625
PRC,0120173,pre,True,0.3375
PRC,0123171,post,False,0.2625
PRC,0123171,post,True,0.2125
PRC,0123171,pre,False,0.2875
PRC,0123171,pre,True,0.2125
PRC,0123173,post,False,0.3125
PRC,0123173,post,True,0.3
PRC,0123173,pre,False,0.3375
PRC,0123173,pre,True,0.225
PRC,0124171,post,False,0.275
PRC,0124171,post,True,0.2125
PRC,0124171,pre,False,0.3
PRC,0124171,pre,True,0.225
PRC,0125171,post,False,0.2875
PRC,0125171,post,True,0.2125
PRC,0125171,pre,False,0.2625
PRC,0125171,pre,True,0.2875
PRC,0125172,post,False,0.3125
