,subject,roi,num_voxels,run,time_point,pearson
10637,0112171_neurosketch,V2,9536.0,3.0,12.0,0.62586
10638,0112171_neurosketch,V2,9536.0,3.0,13.0,0.59949
10639,0112171_neurosketch,V2,9536.0,3.0,14.0,0.49927
10640,0112171_neurosketch,V2,9536.0,3.0,15.0,0.46107
10641,0112171_neurosketch,V2,9536.0,3.0,16.0,0.36946
10642,0112171_neurosketch,V2,9536.0,3.0,17.0,0.39016
10643,0112171_neurosketch,V2,9536.0,3.0,18.0,0.47629
10644,0112171_neurosketch,V2,9536.0,3.0,19.0,0.5017
10645,0112171_neurosketch,V2,9536.0,3.0,20.0,0.29333
10646,0112171_neurosketch,V2,9536.0,3.0,21.0,0.01477
10647,0112171_neurosketch,V2,9536.0,3.0,22.0,0.28543
10648,0112171_neurosketch,V2,9536.0,3.0,23.0,0.12233
10649,0112171_neurosketch,V2,9536.0,4.0,1.0,0.41531
10650,0112171_neurosketch,V2,9536.0,4.0,2.0,0.35656
10651,0112171_neurosketch,V2,9536.0,4.0,3.0,0.48183
10652,0112171_neurosketch,V2,9536.0,4.0,4.0,0.35999
10653,0112171_neurosketch,V2,9536.0,4.0,5.0,0.33632
10654,0112171_neurosketch,V2,9536.0,4.0,6.0,0.32354
10655,0112171_neurosketch,V2,9536.0,4.0,7.0,0.39746
10656,0112171_neurosketch,V2,9536.0,4.0,8.0,0.40109
10657,0112171_neurosketch,V2,9536.0,4.0,9.0,0.50474
10658,0112171_neurosketch,V2,9536.0,4.0,10.0,0.52596
10659,0112171_neurosketch,V2,9536.0,4.0,11.0,0.5354
10660,0112171_neurosketch,V2,9536.0,4.0,12.0,0.44212
10661,0112171_neurosketch,V2,9536.0,4.0,13.0,0.44593
10662,0112171_neurosketch,V2,9536.0,4.0,14.0,0.33038
10663,0112171_neurosketch,V2,9536.0,4.0,15.0,0.4202
10664,0112171_neurosketch,V2,9536.0,4.0,16.0,0.35576
10665,0112171_neurosketch,V2,9536.0,4.0,17.0,0.40851
10666,0112171_neurosketch,V2,9536.0,4.0,18.0,0.49472
10667,0112171_neurosketch,V2,9536.0,4.0,19.0,0.4929
10668,0112171_neurosketch,V2,9536.0,4.0,20.0,0.40923
10669,0112171_neurosketch,V2,9536.0,4.0,21.0,0.31886
10670,0112171_neurosketch,V2,9536.0,4.0,22.0,0.27763
10671,0112171_neurosketch,V2,9536.0,4.0,23.0,0.16343
10672,0112171_neurosketch,IT_FS,4430.0,1.0,1.0,0.09507
10673,0112171_neurosketch,IT_FS,4430.0,1.0,2.0,0.12927
10674,0112171_neurosketch,IT_FS,4430.0,1.0,3.0,0.14181
10675,0112171_neurosketch,IT_FS,4430.0,1.0,4.0,0.10682
10676,0112171_neurosketch,IT_FS,4430.0,1.0,5.0,0.10303
10677,0112171_neurosketch,IT_FS,4430.0,1.0,6.0,0.12261
10678,0112171_neurosketch,IT_FS,4430.0,1.0,7.0,0.11707
10679,0112171_neurosketch,IT_FS,4430.0,1.0,8.0,0.16305
10680,0112171_neurosketch,IT_FS,4430.0,1.0,9.0,0.16511
10681,0112171_neurosketch,IT_FS,4430.0,1.0,10.0,0.17539
10682,0112171_neurosketch,IT_FS,4430.0,1.0,11.0,0.20665
10683,0112171_neurosketch,IT_FS,4430.0,1.0,12.0,0.1724
10684,0112171_neurosketch,IT_FS,4430.0,1.0,13.0,0.15419
10685,0112171_neurosketch,IT_FS,4430.0,1.0,14.0,0.14355
10686,0112171_neurosketch,IT_FS,4430.0,1.0,15.0,0.10253
10687,0112171_neurosketch,IT_FS,4430.0,1.0,16.0,0.12363
10688,0112171_neurosketch,IT_FS,4430.0,1.0,17.0,0.18995
10689,0112171_neurosketch,IT_FS,4430.0,1.0,18.0,0.15616
10690,0112171_neurosketch,IT_FS,4430.0,1.0,19.0,0.12099
10691,0112171_neurosketch,IT_FS,4430.0,1.0,20.0,0.11846
10692,0112171_neurosketch,IT_FS,4430.0,1.0,21.0,0.15127
10693,0112171_neurosketch,IT_FS,4430.0,1.0,22.0,0.07344
10694,0112171_neurosketch,IT_FS,4430.0,1.0,23.0,0.09297
10695,0112171_neurosketch,IT_FS,4430.0,2.0,1.0,0.08742
10696,0112171_neurosketch,IT_FS,4430.0,2.0,2.0,0.14549
10697,0112171_neurosketch,IT_FS,4430.0,2.0,3.0,0.18119
10698,0112171_neurosketch,IT_FS,4430.0,2.0,4.0,0.12206
10699,0112171_neurosketch,IT_FS,4430.0,2.0,5.0,0.1454
10700,0112171_neurosketch,IT_FS,4430.0,2.0,6.0,0.15787
10701,0112171_neurosketch,IT_FS,4430.0,2.0,7.0,0.20909
10702,0112171_neurosketch,IT_FS,4430.0,2.0,8.0,0.16607
10703,0112171_neurosketch,IT_FS,4430.0,2.0,9.0,0.24489
10704,0112171_neurosketch,IT_FS,4430.0,2.0,10.0,0.25407
10705,0112171_neurosketch,IT_FS,4430.0,2.0,11.0,0.24397
10706,0112171_neurosketch,IT_FS,4430.0,2.0,12.0,0.27949
10707,0112171_neurosketch,IT_FS,4430.0,2.0,13.0,0.19817
10708,0112171_neurosketch,IT_FS,4430.0,2.0,14.0,0.22323
10709,0112171_neurosketch,IT_FS,4430.0,2.0,15.0,0.24709
10710,0112171_neurosketch,IT_FS,4430.0,2.0,16.0,0.18579
10711,0112171_neurosketch,IT_FS,4430.0,2.0,17.0,0.25845
10712,0112171_neurosketch,IT_FS,4430.0,2.0,18.0,0.10481
10713,0112171_neurosketch,IT_FS,4430.0,2.0,19.0,0.1025
10714,0112171_neurosketch,IT_FS,4430.0,2.0,20.0,0.02668
10715,0112171_neurosketch,IT_FS,4430.0,2.0,21.0,0.15187
10716,0112171_neurosketch,IT_FS,4430.0,2.0,22.0,0.02266
10717,0112171_neurosketch,IT_FS,4430.0,2.0,23.0,0.05362
10718,0112171_neurosketch,IT_FS,4430.0,3.0,1.0,0.134
10719,0112171_neurosketch,IT_FS,4430.0,3.0,2.0,0.04488
10720,0112171_neurosketch,IT_FS,4430.0,3.0,3.0,0.19933
10721,0112171_neurosketch,IT_FS,4430.0,3.0,4.0,0.11862
10722,0112171_neurosketch,IT_FS,4430.0,3.0,5.0,0.18309
10723,0112171_neurosketch,IT_FS,4430.0,3.0,6.0,0.22623
10724,0112171_neurosketch,IT_FS,4430.0,3.0,7.0,0.23604
10725,0112171_neurosketch,IT_FS,4430.0,3.0,8.0,0.20754
10726,0112171_neurosketch,IT_FS,4430.0,3.0,9.0,0.25784
10727,0112171_neurosketch,IT_FS,4430.0,3.0,10.0,0.18861
10728,0112171_neurosketch,IT_FS,4430.0,3.0,11.0,0.24509
10729,0112171_neurosketch,IT_FS,4430.0,3.0,12.0,0.22361
10730,0112171_neurosketch,IT_FS,4430.0,3.0,13.0,0.28005
10731,0112171_neurosketch,IT_FS,4430.0,3.0,14.0,0.25686
10732,0112171_neurosketch,IT_FS,4430.0,3.0,15.0,0.26246
10733,0112171_neurosketch,IT_FS,4430.0,3.0,16.0,0.22866
10734,0112171_neurosketch,IT_FS,4430.0,3.0,17.0,0.24717
10735,0112171_neurosketch,IT_FS,4430.0,3.0,18.0,0.28279
10736,0112171_neurosketch,IT_FS,4430.0,3.0,19.0,0.27036
10737,0112171_neurosketch,IT_FS,4430.0,3.0,20.0,0.16511
10738,0112171_neurosketch,IT_FS,4430.0,3.0,21.0,0.01139
10739,0112171_neurosketch,IT_FS,4430.0,3.0,22.0,0.13935
10740,0112171_neurosketch,IT_FS,4430.0,3.0,23.0,0.04364
10741,0112171_neurosketch,IT_FS,4430.0,4.0,1.0,0.13177
10742,0112171_neurosketch,IT_FS,4430.0,4.0,2.0,0.10011
10743,0112171_neurosketch,IT_FS,4430.0,4.0,3.0,0.15363
10744,0112171_neurosketch,IT_FS,4430.0,4.0,4.0,0.09631
10745,0112171_neurosketch,IT_FS,4430.0,4.0,5.0,0.08374
10746,0112171_neurosketch,IT_FS,4430.0,4.0,6.0,0.11078
10747,0112171_neurosketch,IT_FS,4430.0,4.0,7.0,0.10814
10748,0112171_neurosketch,IT_FS,4430.0,4.0,8.0,0.16483
10749,0112171_neurosketch,IT_FS,4430.0,4.0,9.0,0.15816
10750,0112171_neurosketch,IT_FS,4430.0,4.0,10.0,0.18926
10751,0112171_neurosketch,IT_FS,4430.0,4.0,11.0,0.20651
10752,0112171_neurosketch,IT_FS,4430.0,4.0,12.0,0.158
10753,0112171_neurosketch,IT_FS,4430.0,4.0,13.0,0.15933
10754,0112171_neurosketch,IT_FS,4430.0,4.0,14.0,0.144
10755,0112171_neurosketch,IT_FS,4430.0,4.0,15.0,0.19368
10756,0112171_neurosketch,IT_FS,4430.0,4.0,16.0,0.16653
10757,0112171_neurosketch,IT_FS,4430.0,4.0,17.0,0.11222
10758,0112171_neurosketch,IT_FS,4430.0,4.0,18.0,0.1324
10759,0112171_neurosketch,IT_FS,4430.0,4.0,19.0,0.12022
10760,0112171_neurosketch,IT_FS,4430.0,4.0,20.0,0.11764
10761,0112171_neurosketch,IT_FS,4430.0,4.0,21.0,0.10901
